Company Name,Employment Status,Experience Cat,job_category_id,Location,Min Experience,Bonus,Gratuity,Insurance,Mobile Bill,Provident Fund,job title,vacancy,Degree,In Dhaka,avg_salary,avg_age,Gender
Guardvision Monitoring BD Ltd,contract,mid,1,Uttara Sector 9,2,TRUE,FALSE,FALSE,TRUE,FALSE,Technical & Desk Support Specialist,2,professional,FALSE,45000,32,3
Ark Accounting Pty Ltd,full_time,mid,1,Dhaka,3,FALSE,FALSE,FALSE,FALSE,FALSE,Junior Accountant / Senior Accountant (Australian Tax & Accounting),5,bachelors,TRUE,35000,30,3
Somokalin Prokashon Limited,full_time,senior,1,Banasree,5,TRUE,FALSE,FALSE,FALSE,FALSE,"Senior Executive, Accounts",1,bachelors,FALSE,33750,30,1
A Multinational Buying House,full_time,senior,1,Dhaka,8,FALSE,FALSE,FALSE,FALSE,FALSE,HR & Finance Manager,1,other,TRUE,85000,30,2
SS Study Abroad,full_time,mid,1,Dhaka,3,TRUE,FALSE,FALSE,FALSE,FALSE,Accounts Officer,2,other,TRUE,33750,30,2
GM Holdings Limited,full_time,senior,1,Banani,8,FALSE,FALSE,FALSE,FALSE,FALSE,Assistant Manager/Manager ( Accounts),1,professional,FALSE,33750,35,3
Trade Services International,full_time,mid,1,Chattogram,3,TRUE,FALSE,FALSE,FALSE,FALSE,Senior Executive / Assistant Manager - Accounts & Finance,2,masters,TRUE,33750,30,3
NIPRO JMI Company Ltd. (A sister concern of JMI Group),full_time,entry,1,Munshiganj,1,TRUE,FALSE,TRUE,TRUE,TRUE,"Assistant Executive/ Executive, VAT",2,masters,FALSE,33750,28.5,3
AJ Group.,full_time,mid,1,Dhaka,3,FALSE,FALSE,FALSE,FALSE,FALSE,Jr. Executive/ Executive - Internal Auditor (Garments Industry),2,masters,TRUE,33750,32.5,1
Synesis IT,intern,unknown,1,Kawran Bazar,3,FALSE,FALSE,FALSE,FALSE,FALSE,Finance & Accounts (Intern),1,bachelors,FALSE,7000,26,3
Keya Cosmetics Ltd.,full_time,unknown,1,Gazipur,3,TRUE,FALSE,FALSE,TRUE,FALSE,Accounts Officer/MTO,1,other,FALSE,33750,30,3
Bangladesh Medical Science and Technology Ltd,full_time,senior,1,Mirpur 1,7,FALSE,FALSE,FALSE,FALSE,FALSE,Finance Manager,2,professional,FALSE,33750,30,3
Standard Bank PLC,full_time,senior,1,Anywhere in Bangladesh,6,FALSE,FALSE,FALSE,FALSE,FALSE,Audit Officer,2,professional,FALSE,33750,32.5,3
Shimantik,full_time,mid,1,Chattogram,3,FALSE,FALSE,FALSE,FALSE,FALSE,অ্যাকাউন্স এন্ড অ্যাডমিন অফিসার,1,other,FALSE,33750,30,3
Shimantik,full_time,senior,1,Sylhet,10,FALSE,FALSE,FALSE,FALSE,FALSE,সিনিয়র অ্যাকাউন্স এন্ড অ্যাডমিন অফিসার,1,masters,FALSE,33750,30,3
Faruque Traders,intern,unknown,1,Purana Paltan,3,FALSE,FALSE,FALSE,FALSE,FALSE,Intern- Accounts & Admin,1,other,FALSE,12500,26.5,1
AponTech Limited.,full_time,unknown,1,Baridhara J Block,3,FALSE,FALSE,FALSE,FALSE,FALSE,"Junior Executive/ Executive, Accounts & Finance",2,bachelors,FALSE,17500,30,3
B. C. Gupta & Company,intern,unknown,1,Dhaka Sadar,3,FALSE,FALSE,TRUE,FALSE,FALSE,Articled Students,3,other,TRUE,8500,30,3
Advanced Chemical Industries PLC (ACI),full_time,mid,1,Dhaka,2,FALSE,FALSE,FALSE,FALSE,FALSE,Treasury Executive,2,masters,TRUE,33750,27,3
Advanced Chemical Industries PLC (ACI),full_time,mid,1,Tejgaon,2,TRUE,TRUE,TRUE,TRUE,TRUE,Documentation Executive,2,bachelors,FALSE,33750,30,3
Aliaina Engineering and technology Limited,full_time,mid,1,Anywhere in Bangladesh,3,FALSE,FALSE,FALSE,FALSE,FALSE,একাউন্টস অফিসার,1,other,FALSE,33750,30,3
DBH Finance PLC,full_time,senior,1,Chattogram,7,TRUE,FALSE,FALSE,FALSE,FALSE,Relationship Manager - Mudaraba Deposits,2,professional,TRUE,33750,30,3
RFL Group,full_time,entry,1,Barishal,1,TRUE,FALSE,FALSE,TRUE,TRUE,Trainee Executive - Internal Audit,10,professional,TRUE,33750,27,3
REVE Tex Ltd. (Le Reve),full_time,mid,1,Dhaka,2,TRUE,FALSE,FALSE,TRUE,TRUE,Executive / Senior Executive - Audit,2,professional,TRUE,33750,31.5,3
A Renowned Group of Companies,full_time,senior,1,Dhaka,7,FALSE,FALSE,FALSE,FALSE,FALSE,Manager (Accounts & Finance),2,masters,TRUE,33750,30,3
B&T Group,full_time,unknown,1,Banani,3,TRUE,FALSE,FALSE,TRUE,FALSE,Accounts Executive,2,masters,FALSE,33750,30,3
Dhrubotara Youth Development Foundation,full_time,senior,1,Dhaka,5,FALSE,FALSE,FALSE,FALSE,FALSE,"Manager, Finance and Admin",1,other,TRUE,40000,30,3
